skill,x,y,NbEmployees,NbEmployeesLastYear,NbEmployeesFromLastYearStillHere,AvgExperience,AvgCost,TotalCost,Variation,Turnover,PointOfFailure
direct sales,0.15818156617426288,0.4303706912236449,1,1.0,1.0,6.0,107000,107000,0.0,0.0,1
solution selling,0.15457121980542313,0.4506437520998691,3,3.0,2.0,4.0,79166,237498,0.0,0.33333333333333337,0
medical devices,0.689139938226871,0.29471130807078905,3,3.0,3.0,3.3,76333,228999,0.0,0.0,0
onboarding,0.5256000467317625,0.025425982733737248,2,2.0,2.0,4.0,92000,184000,0.0,0.0,1
internet recruiting,0.5675239098625613,0.012266336268924078,2,2.0,2.0,2.0,73000,146000,0.0,0.0,1
graduate recruitment,0.5114669043962986,0.03898127229337063,4,2.0,2.0,1.2,73000,292000,2.0,0.0,0
mining,0.5440656408719322,0.02969283672448127,1,1.0,1.0,2.0,55500,55500,0.0,0.0,1
personal training,0.28401707853229824,0.42753739955011416,1,1.0,1.0,3.0,112500,112500,0.0,0.0,1
real estate development,0.5880166995535118,0.24786184689257382,2,1.0,1.0,1.0,121000,242000,1.0,0.0,1
brand management,0.2022104960592612,0.527503615350692,1,1.0,1.0,1.0,71000,71000,0.0,0.0,1
user interface design,0.571247327362661,0.773888295916029,3,3.0,3.0,2.3,90000,270000,0.0,0.0,0
reliability engineering,0.5023147940072584,0.8013613853339691,1,1.0,1.0,3.0,115500,115500,0.0,0.0,1
adobe creative suite,0.5692071780317941,0.798256929855595,1,1.0,1.0,2.0,81500,81500,0.0,0.0,1
dreamweaver,0.5877474985643647,0.7568656154793223,1,2.0,1.0,2.0,48500,48500,-1.0,0.5,1
joomla,0.6492830295820426,0.7140415389741206,1,1.0,1.0,3.0,48000,48000,0.0,0.0,1
concept generation,0.5062368641179207,0.878803857547681,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
graphics,0.5187762394765711,0.8573687388642548,2,2.0,2.0,3.0,65000,130000,0.0,0.0,1
flash,0.640850570772222,0.7444942044863156,1,3.0,1.0,3.0,115500,115500,-2.0,0.6666666666666667,1
logo design,0.5687144307021584,0.834922207195353,2,2.0,2.0,3.0,77250,154500,0.0,0.0,1
interior design,0.5688331973638451,0.8771150101618911,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
typography,0.5837166774016438,0.8226043337997431,1,1.0,1.0,2.0,73000,73000,0.0,0.0,1
corporate identity,0.5900745812274077,0.8425086422835293,1,1.0,1.0,2.0,48500,48500,0.0,0.0,1
cross-browser compatibility,0.550031121359794,0.7613874794739202,1,1.0,1.0,2.0,64000,64000,0.0,0.0,1
ssis,0.5848603683243992,0.7037756734159548,1,1.0,1.0,6.0,81000,81000,0.0,0.0,1
data modeling,0.5848603683243992,0.7037756734159548,1,2.0,1.0,5.0,72500,72500,-1.0,0.5,1
fashion,0.6037531918217452,0.8303744871168186,1,1.0,1.0,2.0,73000,73000,0.0,0.0,1
rendering,0.47545828226728504,0.993290821330259,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
google analytics,0.14991312830870282,0.6535370397654569,1,1.0,1.0,6.0,69500,69500,0.0,0.0,1
website development,0.13323878494524335,0.6480905957171722,1,1.0,1.0,1.0,69500,69500,0.0,0.0,1
web 2.0,0.11397146417854902,0.6621367757833418,2,2.0,1.0,3.0,61250,122500,0.0,0.5,1
mvc,0.7419978443256813,0.6852105175347759,2,2.0,2.0,5.0,83000,166000,0.0,0.0,1
google adwords,0.14608420788784213,0.6732864493015206,2,2.0,2.0,5.0,65750,131500,0.0,0.0,1
web content,0.26934346781294316,0.6910081942281019,1,1.0,1.0,5.0,47500,47500,0.0,0.0,1
testing,0.5214201602352893,0.4507306537978386,1,1.0,1.0,4.0,81500,81500,0.0,0.0,1
playwriting,0.2643600982451877,0.9428621054534132,1,1.0,1.0,5.0,68500,68500,0.0,0.0,1
classical,0.26383844706726417,0.9138312744988896,1,1.0,1.0,5.0,68500,68500,0.0,0.0,1
parts,0.2643600982451877,0.9428621054534132,1,1.0,1.0,5.0,68500,68500,0.0,0.0,1
reputation management,0.3323601854475039,0.7081613303610339,1,0.0,0.0,0.0,53000,53000,0.0,0.0,1
drupal,0.668686578137718,0.7032761808853624,1,1.0,1.0,3.0,64000,64000,0.0,0.0,1
erp,0.4915611417903462,0.3596243696141702,2,3.0,2.0,4.0,72750,145500,-1.0,0.33333333333333337,1
ruby on rails,0.7000271060754184,0.6976636102474912,2,1.0,1.0,1.5,83000,166000,1.0,0.0,1
zbrush,1.0,0.5104414193659769,1,1.0,1.0,1.0,50000,50000,0.0,0.0,1
3d studio max,1.0,0.5104414193659769,1,1.0,1.0,1.0,50000,50000,0.0,0.0,1
texturing,1.0,0.5104414193659769,1,1.0,1.0,1.0,50000,50000,0.0,0.0,1
low poly modeling,1.0,0.5104414193659769,1,1.0,1.0,1.0,50000,50000,0.0,0.0,1
proofreading,0.29713401425530567,0.7566967507454504,1,0.0,0.0,0.0,66500,66500,0.0,0.0,1
corporate communications,0.31943621326214977,0.7290729008535708,1,1.0,1.0,1.0,79000,79000,0.0,0.0,1
keyword research,0.2872235846723125,0.7427072840239308,1,1.0,1.0,5.0,47500,47500,0.0,0.0,1
publishing,0.25348942289631127,0.7833136386991859,1,0.0,0.0,0.0,66500,66500,0.0,0.0,1
elisa,0.8928185896327191,0.3121206294841176,1,1.0,1.0,1.0,90500,90500,0.0,0.0,1
western blotting,0.8928185896327191,0.3121206294841176,1,1.0,1.0,1.0,90500,90500,0.0,0.0,1
information security management,0.5532168407510062,0.5888551826244716,1,1.0,1.0,6.0,75000,75000,0.0,0.0,1
mergers,0.2871916716208741,0.5691447260040288,1,1.0,1.0,6.0,131000,131000,0.0,0.0,1
start-ups,0.2953705566338749,0.5554394574043272,1,1.0,1.0,3.0,172000,172000,0.0,0.0,1
word,0.37620269326006683,0.5227195615378298,4,2.0,2.0,1.5,61000,244000,2.0,0.0,0
sales effectiveness,0.360164008545827,0.5218827177534874,2,1.0,1.0,2.5,57000,114000,1.0,0.0,1
succession planning,0.46532589004996777,0.16395042753559913,1,1.0,1.0,5.0,111000,111000,0.0,0.0,1
tax,0.24898917895713055,0.10150313368735664,1,1.0,1.0,2.0,164000,164000,0.0,0.0,1
press releases,0.17157595559377029,0.5613043811708895,3,4.0,3.0,2.7,50833,152499,-1.0,0.25,0
dns,0.32119010084265953,0.4963174241148942,1,1.0,1.0,4.0,57000,57000,0.0,0.0,1
general ledger,0.24986842162361209,0.03409827332371307,1,2.0,1.0,6.0,102500,102500,-1.0,0.5,1
controlling,0.24986842162361209,0.03409827332371307,1,1.0,1.0,6.0,102500,102500,0.0,0.0,1
employee engagement,0.4870936826674651,0.12074088533031822,1,1.0,1.0,5.0,111000,111000,0.0,0.0,1
hospitality,0.25101576750126725,0.4934258868025709,3,2.0,2.0,3.3,82000,246000,1.0,0.0,0
recruitment/retention,0.5434229693587179,0.08396445683669368,2,1.0,1.0,1.5,73000,146000,1.0,0.0,1
interactive marketing,0.442650418078732,0.2375236393123302,1,1.0,1.0,1.0,69500,69500,0.0,0.0,1
hr policies,0.5207706502110523,0.0,4,2.0,2.0,1.0,77625,310500,2.0,0.0,0
environmental engineering,0.8061902692547157,0.4806196007295517,1,1.0,1.0,2.0,55500,55500,0.0,0.0,1
water quality,0.8061902692547157,0.4806196007295517,1,1.0,1.0,2.0,55500,55500,0.0,0.0,1
drug discovery,0.7163921085210094,0.3074339016970693,1,1.0,1.0,1.0,90500,90500,0.0,0.0,1
film,0.2517354836556616,0.8530406204579938,1,0.0,0.0,0.0,66500,66500,0.0,0.0,1
improvisation,0.25000988000176055,0.8888418694918915,1,1.0,1.0,5.0,68500,68500,0.0,0.0,1
musical theatre,0.25000988000176055,0.8888418694918915,1,1.0,1.0,5.0,68500,68500,0.0,0.0,1
